Ink Black 	0° 	15% 	0% 		33 	33 	34 	H000L15C00
Slate Black 	0° 	20% 	0% 		43 	43 	43 	H000L20C00
Onyx Black 	0° 	25% 	0% 		58 	58 	58 	H000L25C00
Medium Black 	0° 	30% 	0% 		68 	68 	67 	H000L30C00
Briquette Grey 	0° 	35% 	0% 		80 	80 	80 	H000L35C00
Dark Grey 	0° 	40% 	0% 		93 	92 	91 	H000L40C00
Architecture Grey 	0° 	45% 	0% 		107 	106 	105 	H000L45C00
Steel Grey 	0° 	50% 	0% 		118 	118 	117 	H000L50C00
Medium Grey 	0° 	55% 	0% 		130 	130 	130 	H000L55C00
Ash Grey 	0° 	60% 	0% 		143 	143 	142 	H000L60C00
Mortar Grey 	0° 	65% 	0% 		158 	159 	158 	H000L65C00
Light Grey 	0° 	70% 	0% 		172 	173 	172 	H000L70C00
Marble Grey 	0° 	75% 	0% 		186 	186 	186 	H000L75C00
Foggy Grey 	0° 	80% 	0% 		201 	200 	199 	H000L80C00
Shadow White 	0° 	85% 	0% 		214 	214 	212 	H000L85C00
Winter White 	0° 	90% 	0% 		226 	227 	224 	H000L90C00
Wenge Black 	10° 	20% 	10% 		62 	42 	44 	H010L20C10
Cherry Black 	10° 	20% 	15% 		66 	35 	41 	H010L20C15
Dark Mahogany 	10° 	20% 	20% 		72 	32 	41 	H010L20C20
Rusty Red 	10° 	20% 	25% 		75 	28 	40 	H010L20C25
Wood-Black Red 	10° 	30% 	10% 		88 	64 	67 	H010L30C10
Night Mauve 	10° 	30% 	15% 		93 	59 	65 	H010L30C15
Pinkish Brown 	10° 	30% 	20% 		100 	57 	65 	H010L30C20
Chestnut Red 	10° 	30% 	25% 		108 	51 	63 	H010L30C25
Leather Red 	10° 	30% 	30% 		113 	47 	62 	H010L30C30
Anthracite Red 	10° 	30% 	35% 		115 	41 	59 	H010L30C35
Brown Magenta 	10° 	30% 	40% 		123 	32 	57 	H010L30C40
Atlas Red 	10° 	30% 	44% 		130 	25 	58 	H010L30C44
Caput Mortuum Grey Red 	10° 	40% 	10% 		111 	88 	91 	H010L40C10
Rust Brown 	10° 	40% 	15% 		119 	83 	89 	H010L40C15
Sunset Red 	10° 	40% 	20% 		127 	81 	88 	H010L40C20
Mineral Red 	10° 	40% 	25% 		134 	77 	88 	H010L40C25
Dull Magenta 	10° 	40% 	30% 		141 	72 	86 	H010L40C30
Velvet Red 	10° 	40% 	35% 		144 	67 	83 	H010L40C35
Algae Red 	10° 	40% 	40% 		152 	61 	83 	H010L40C40
Raspberry Ice Red 	10° 	40% 	45% 		159 	55 	83 	H010L40C45
Fuchsia Red 	10° 	40% 	50% 		165 	49 	82 	H010L40C50
Primal Red 	10° 	40% 	53% 		169 	43 	79 	H010L40C53
Old Mahogany 	10° 	50% 	10% 		136 	113 	117 	H010L50C10
Dull Dusky Pink 	10° 	50% 	15% 		143 	109 	115 	H010L50C15
Brickwork Red 	10° 	50% 	20% 		152 	105 	113 	H010L50C20
Matte Carmine 	10° 	50% 	25% 		160 	101 	112 	H010L50C25
Marble Red 	10° 	50% 	30% 		169 	96 	110 	H010L50C30
Geranium Red 	10° 	50% 	35% 		174 	91 	108 	H010L50C35
Slate Pink 	10° 	50% 	40% 		179 	88 	108 	H010L50C40
Tulip Red 	10° 	50% 	45% 		184 	81 	106 	H010L50C45
Vibrant Red 	10° 	50% 	50% 		194 	76 	106 	H010L50C50
Lilac Grey 	10° 	60% 	10% 		163 	138 	141 	H010L60C10
Orchid Red 	10° 	60% 	15% 		173 	135 	141 	H010L60C15
Lime Pink 	10° 	60% 	20% 		182 	132 	140 	H010L60C20
Lipstick Pink 	10° 	60% 	25% 		189 	127 	138 	H010L60C25
Japanese Coral 	10° 	60% 	30% 		196 	122 	136 	H010L60C30
Rose Red 	10° 	60% 	35% 		205 	118 	135 	H010L60C35
Strawberry Milkshake Red 	10° 	60% 	40% 		212 	113 	134 	H010L60C40
Luminous Pink 	10° 	60% 	45% 		220 	108 	132 	H010L60C45
Pale Mauve 	10° 	70% 	10% 		192 	166 	170 	H010L70C10
Powder Rose 	10° 	70% 	15% 		200 	162 	167 	H010L70C15
Silver Rose 	10° 	70% 	20% 		210 	158 	166 	H010L70C20
Flamingo Pink 	10° 	70% 	25% 		219 	154 	165 	H010L70C25
Cherry Blossom Pink 	10° 	70% 	30% 		226 	151 	164 	H010L70C30
Baby Pink 	10° 	70% 	35% 		234 	145 	161 	H010L70C35
Mud Pink 	10° 	80% 	10% 		220 	192 	195 	H010L80C10
Ice Hot Pink 	10° 	80% 	15% 		228 	189 	194 	H010L80C15
Pastel Pink 	10° 	80% 	20% 		239 	185 	192 	H010L80C20
Pearl Rose 	10° 	85% 	5% 		223 	211 	212 	H010L85C05
Salmon Rose 	10° 	85% 	10% 		230 	207 	210 	H010L85C10
Milkshake Pink 	10° 	85% 	15% 		240 	205 	210 	H010L85C15
Flesh Pink 	10° 	85% 	20% 		249 	203 	211 	H010L85C20
Rose Cream 	10° 	90% 	5% 		239 	224 	222 	H010L90C05
Light Apricot 	10° 	90% 	10% 		242 	218 	214 	H010L90C10
White-Red 	10° 	93% 	5% 		243 	232 	234 	H010L93C05
Deep Brown 	20° 	20% 	5% 		52 	42 	42 	H020L20C05
Night Red 	20° 	20% 	10% 		60 	39 	39 	H020L20C10
Dark Red Brown 	20° 	20% 	20% 		74 	33 	37 	H020L20C20
Burgundy 	20° 	20% 	29% 		83 	24 	31 	H020L20C29
Rhodonite Brown 	20° 	30% 	5% 		77 	65 	65 	H020L30C05
Budapest Brown 	20° 	30% 	10% 		85 	61 	62 	H020L30C10
Kremlin Red 	20° 	30% 	20% 		99 	54 	57 	H020L30C20
Crystal Dark Red 	20° 	30% 	30% 		109 	44 	50 	H020L30C30
Amaranth Blossom 	20° 	30% 	40% 		123 	35 	49 	H020L30C40
Sweet Cherry Red 	20° 	30% 	48% 		132 	23 	44 	H020L30C48
Greyish Brown 	20° 	40% 	5% 		103 	91 	91 	H020L40C05
Nut Brown 	20° 	40% 	10% 		110 	86 	87 	H020L40C10
Antique Red 	20° 	40% 	20% 		125 	79 	81 	H020L40C20
Hermosa Pink 	20° 	40% 	30% 		138 	71 	76 	H020L40C30
October Red 	20° 	40% 	40% 		148 	61 	70 	H020L40C40
Bright Red 	20° 	40% 	50% 		160 	46 	62 	H020L40C50
Zircon Grey 	20° 	50% 	5% 		128 	116 	115 	H020L50C05
Sandstone Red Grey 	20° 	50% 	10% 		136 	110 	112 	H020L50C10
Red Grey 	20° 	50% 	20% 		153 	104 	106 	H020L50C20
Venetian Red 	20° 	50% 	30% 		167 	96 	101 	H020L50C30
Alsike Clover Red 	20° 	50% 	40% 		177 	87 	95 	H020L50C40
Flame Red 	20° 	50% 	50% 		190 	76 	90 	H020L50C50
Lingonberry Red 	20° 	50% 	58% 		206 	68 	88 	H020L50C58
Globe Thistle Grey Rose 	20° 	60% 	5% 		153 	141 	141 	H020L60C05
Tin Pink 	20° 	60% 	10% 		163 	137 	138 	H020L60C10
Retro Pink 	20° 	60% 	20% 		180 	130 	134 	H020L60C20
Begonia Rose 	20° 	60% 	30% 		195 	121 	127 	H020L60C30
Lotus Red 	20° 	60% 	40% 		209 	113 	123 	H020L60C40
Fashion Mauve 	20° 	70% 	5% 		181 	168 	168 	H020L70C05
Tourmaline Mauve 	20° 	70% 	10% 		189 	163 	165 	H020L70C10
Rosewood Apricot 	20° 	70% 	20% 		211 	158 	162 	H020L70C20
Marker Pink 	20° 	70% 	30% 		227 	150 	155 	H020L70C30
Aurora Grey 	20° 	80% 	5% 		211 	197 	196 	H020L80C05
Quartz Rose 	20° 	80% 	10% 		219 	191 	192 	H020L80C10
Marzipan Pink 	20° 	80% 	20% 		238 	186 	188 	H020L80C20
Almond Blossom Pink 	20° 	85% 	5% 		224 	210 	209 	H020L85C05
Salmon Cream 	20° 	85% 	10% 		233 	207 	207 	H020L85C10
Elegant Light Rose 	20° 	85% 	20% 		253 	202 	202 	H020L85C20
Mussel White 	20° 	90% 	5% 		240 	226 	222 	H020L90C05
Peach Cream 	20° 	90% 	10% 		244 	220 	216 	H020L90C10
Blossom White 	20° 	93% 	5% 		248 	232 	228 	H020L93C05
Laurel Nut Brown 	30° 	30% 	10% 		85 	64 	62 	H030L30C10
Autumn Leaf Red 	30° 	30% 	20% 		98 	56 	54 	H030L30C20
Macore Veneer Red 	30° 	30% 	30% 		110 	47 	44 	H030L30C30
Crimson Red 	30° 	30% 	40% 		124 	41 	42 	H030L30C40
Blood Red 	30° 	30% 	45% 		125 	30 	32 	H030L30C45
Peat Red Brown 	30° 	40% 	10% 		108 	87 	85 	H030L40C10
Cranberry Red 	30° 	40% 	20% 		126 	83 	80 	H030L40C20
Brick Brown 	30° 	40% 	30% 		139 	75 	71 	H030L40C30
Spicy Red 	30° 	40% 	40% 		151 	65 	62 	H030L40C40
Hibiscus Red 	30° 	40% 	50% 		163 	55 	55 	H030L40C50
Emperor Cherry Red 	30° 	40% 	60% 		172 	44 	50 	H030L40C60
Earth Red 	30° 	50% 	10% 		136 	111 	109 	H030L50C10
Terracotta Red Brown 	30° 	50% 	20% 		151 	106 	102 	H030L50C20
Clay Red 	30° 	50% 	30% 		166 	97 	93 	H030L50C30
Vermilion Red 	30° 	50% 	40% 		180 	90 	86 	H030L50C40
Maple Red 	30° 	50% 	50% 		191 	81 	78 	H030L50C50
Holland Red 	30° 	50% 	60% 		203 	69 	67 	H030L50C60
Storm Red 	30° 	60% 	10% 		162 	138 	136 	H030L60C10
Desert Red 	30° 	60% 	20% 		179 	131 	127 	H030L60C20
Antique Pink 	30° 	60% 	30% 		194 	122 	116 	H030L60C30
Light Tomato 	30° 	60% 	40% 		208 	117 	111 	H030L60C40
Calypso Red 	30° 	60% 	50% 		222 	107 	102 	H030L60C50
Florida Grey 	30° 	70% 	10% 		190 	164 	162 	H030L70C10
Dull Apricot 	30° 	70% 	20% 		208 	156 	151 	H030L70C20
Salmon Pink Red 	30° 	70% 	30% 		225 	149 	143 	H030L70C30
Flamingo Red 	30° 	70% 	40% 		239 	142 	135 	H030L70C40
